entry,name,calling_convention,parameter_count,body_address_count
00412be0,FUN_00412be0,unknown,0,28
00412c00,FUN_00412c00,unknown,0,35
00412c30,FUN_00412c30,unknown,0,204
00412d10,nullsub_21,unknown,0,1
00412da0,Unit_CopyFlagsFromTemplate,unknown,0,261
00412f00,FUN_00412f00,unknown,0,34
00412f30,Unit_SetFlag,unknown,0,327
00413080,FUN_00413080,unknown,0,158
00413120,FUN_00413120,unknown,0,96
00413180,FUN_00413180,unknown,0,40
004131b0,FUN_004131b0,unknown,0,183
00413270,UI_BeginUnitInfo,unknown,0,222
00413350,FUN_00413350,unknown,0,221
00413430,FUN_00413430,unknown,0,221
00413510,FUN_00413510,unknown,0,221
004135f0,FUN_004135f0,unknown,0,222
004136d0,FUN_004136d0,unknown,0,222
004137b0,FUN_004137b0,unknown,0,168
00413920,FUN_00413920,unknown,0,496
00413b10,FUN_00413b10,unknown,0,703
00413dd0,FUN_00413dd0,unknown,0,380
00413f50,FUN_00413f50,unknown,0,501
00414150,FUN_00414150,unknown,0,501
00414350,FUN_00414350,unknown,0,55
00414390,FUN_00414390,unknown,0,97
00414400,FUN_00414400,unknown,0,922
004147a0,Unit_MoveTrack,unknown,0,2661
00415210,Unit_MoveTrack_1,unknown,0,569
00415450,Unit_MoveTrackNear,unknown,0,1311
00415970,FUN_00415970,unknown,0,789
00415c90,Track_BridgesOn,unknown,0,27
00415cb0,Track_BridgesOff,unknown,0,24
00415cd0,FUN_00415cd0,unknown,0,43
00415d00,FUN_00415d00,unknown,0,115
00415d80,FUN_00415d80,unknown,0,73
00415dd0,initRandomSeed,unknown,0,27
00415df0,Rng_RandRange,unknown,0,72
00415e40,FUN_00415e40,unknown,0,96
00415ea0,FUN_00415ea0,unknown,0,127
00415f20,FUN_00415f20,unknown,0,1231
004163f0,FUN_004163f0,unknown,0,59
00416430,FUN_00416430,unknown,0,474
00416610,FUN_00416610,unknown,0,316
00416750,FUN_00416750,unknown,0,252
00416850,FUN_00416850,unknown,0,7841
00418700,FUN_00418700,unknown,0,898
00418a90,FUN_00418a90,unknown,0,364
00418c00,FUN_00418c00,unknown,0,215
00418d90,FUN_00418d90,unknown,0,16
00418da0,FUN_00418da0,unknown,0,121
00418e20,FUN_00418e20,unknown,0,16
00418e30,FUN_00418e30,unknown,0,26
00418e50,FUN_00418e50,unknown,0,105
00418ec0,FUN_00418ec0,unknown,0,30
00418ee0,FUN_00418ee0,unknown,0,111
00418f60,UI_HighlightTile,unknown,0,75
00418fe0,UI_ClearTileHighlight,unknown,0,25
00419000,FUN_00419000,unknown,0,168
00419030,nullsub_1,unknown,0,1
004190b0,FUN_004190b0,unknown,0,11
004190c0,FUN_004190c0,unknown,0,11
004190d0,createLogFiles,unknown,0,57
00419110,FUN_00419110,unknown,0,6
00419120,log,unknown,0,201
00419410,FUN_00419410,unknown,0,855
00419790,FUN_00419790,unknown,0,6
004197a0,FUN_004197a0,unknown,0,992
00419b80,FUN_00419b80,unknown,0,480
00419d60,FUN_00419d60,unknown,0,18
00419d80,FUN_00419d80,unknown,0,57
00419dc0,FUN_00419dc0,unknown,0,155
00419e60,FUN_00419e60,unknown,0,106
00419ed0,FUN_00419ed0,unknown,0,73
00419f20,FUN_00419f20,unknown,0,42
00419f50,FUN_00419f50,unknown,0,20
00419f70,UI_DrawUnitInfoPane,unknown,0,1815
0041a690,Unit_Info,unknown,0,691
0041a960,FUN_0041a960,unknown,0,921
0041ad20,Unit_Attack,unknown,0,2733
0041b7d0,Unit_AttackBuilding,unknown,0,2352
0041c100,FUN_0041c100,unknown,0,507
0041c300,FUN_0041c300,unknown,0,94
0041c360,FUN_0041c360,unknown,0,161
0041c410,FUN_0041c410,unknown,0,129
0041c4a0,CalculateBattleResult,unknown,0,1038
0041c8b0,FUN_0041c8b0,unknown,0,1905
0041d030,Building_New,unknown,0,2289
0041d930,FUN_0041d930,unknown,0,80
0041d980,FUN_0041d980,unknown,0,196
0041da50,FUN_0041da50,unknown,0,196
0041db20,FUN_0041db20,unknown,0,98
